Player,Standing,Salary (USD),Position
Al Horford ,Atlantic,26500000,Center
Andrew Wiggins ,Pacific,33616770,Small Forward
Anthony Davis ,Pacific,37980720,Point Guard
Bam Adebayo ,Southeast,30351780,Center
Ben Simmons ,Atlantic,35448672,Point Guard
Bradley Beal ,Southeast,43279250,Shooting Guard
Brandon Ingram ,Southwest,31650600,Small Forward
Chris Paul ,Pacific,28400000,Point Guard
CJ McCollum ,Southwest,33333333,Shooting Guard
D'Angelo Russell ,Northwest,31377750,Point Guard
Damian Lillard ,Northwest,42492492,Point Guard
De'Aaron Fox ,Pacific,28103550,Point Guard
Deandre Ayton ,Pacific,30913750,Center
DeMar DeRozan , Sentral,27300000,Small Forward
Devin Booker ,Pacific,33833400,Shooting Guard
Donovan Mitchell , Sentral,30913750,Shooting Guard
Draymond Green ,Pacific,25806468,Power Forward
Giannis Antetokounmpo , Sentral,42492492,Power Forward
Gordon Hayward ,Southeast,30075000,Small Forward
Jalen Brunson ,Atlantic,27733332,Point Guard
Jamal Murray ,Northwest,31650000,Point Guard
James Harden ,Atlantic,33000000,Shooting Guard
Jaren Jackson Jr. ,Southwest,28946605,Power Forward
Jaylen Brown ,Atlantic,28741071,Shooting Guard
Jayson Tatum ,Atlantic,28103500,Small Forward
Jimmy Butler ,Southeast,37653300,Small Forward
Joel Embiid ,Atlantic,33616770,Center
Jrue Holiday , Sentral,33665040,Point Guard
Karl-Anthony Towns ,Northwest,33833400,Center
Kawhi Leonard ,Pacific,42492492,Small Forward
Kevin Durant ,Atlantic,44119845,Power Forward
Kevin Love , Sentral,28942830,Power Forward
Khris Middleton , Sentral,37948276,Small Forward
Klay Thompson ,Pacific,40600080,Shooting Guard
Kristaps Porzingis ,Southeast,33833400,Center
Kyle Lowry ,Southeast,28333334,Point Guard
Kyrie Irving ,Atlantic,36934550,Point Guard
LeBron James ,Pacific,44474988,Small Forward
Luka Doncic ,Southwest,37095000,Point Guard
Michael Porter Jr. ,Northwest,30913750,Small Forward
Nikola Jokic ,Northwest,33047804,Center
Pascal Siakam ,Atlantic,35448672,Power Forward
Paul George ,Pacific,42492492,Shooting Guard
Rudy Gobert ,Northwest,38172414,Center
Russell Westbrook ,Pacific,47063478,Point Guard
Shai Gilgeous-Alexander ,Northwest,30913750,Point Guard
Stephen Curry ,Pacific,48070014,Point Guard
Tobias Harris ,Atlantic,37633050,Power Forward
Trae Young ,Southeast,37095000,Point Guard
Zach LaVine , Sentral,37096500,Small Forward
