Graduation Year,Major1,Major2,Experience level,Birth month,Age,Height (ft rounded down),Height (remaining in),Favorite Color,Color Category
2026,Undecided,,Beginner - I have little to no experience with coding,October,18,6,0,Classic Blue,
2026,Undecided,,Beginner - I have little to no experience with coding,December,19,5,2,Sunlight,
2026,Undecided,,Beginner - I have little to no experience with coding,April,18,5,2,Coral Pink,
2025,Undecided,,Intermediate - I have some experience coding in 1-2 languages,August,20,5,1,Coral Pink,
2026,Undecided,,Beginner - I have little to no experience with coding,October,19,5,10,Mosaic Blue,
2026,Undecided,,Beginner - I have little to no experience with coding,June,19,5,5,Faded Denim,
2024,Statistics,Data Science,Intermediate - I have some experience coding in 1-2 languages,May,21,5,2,Faded Denim,
2025,Political Science,,Beginner - I have little to no experience with coding,February,19,5,6,Chive,
2023,Physics,,Intermediate - I have some experience coding in 1-2 languages,February,22,5,7,Biscay Green,
2025,Media Arts and Design,,Intermediate - I have some experience coding in 1-2 languages,October,19,5,3,Faded Denim,
2025,Physics,Math,Intermediate - I have some experience coding in 1-2 languages,December,20,6,0,Mosaic Blue,
2024,Humanities,,Beginner - I have little to no experience with coding,May,20,5,10,Cinnamon Stick,
2024,Economics,Public Policy,Beginner - I have little to no experience with coding,January,21,5,11,Flame Scarlet,
2023,Economics,Psychology,Beginner - I have little to no experience with coding,August,22,5,10,Classic Blue,
2026,Economics,Political Science,Beginner - I have little to no experience with coding,July,18,6,0,Classic Blue,
2025,Economics,History,Beginner - I have little to no experience with coding,April,19,5,6,Flame Scarlet,
2025,Economics,French Literature,Beginner - I have little to no experience with coding,December,20,5,7,Mosaic Blue,
2026,Economics,Data Science,Beginner - I have little to no experience with coding,October,18,5,7,Classic Blue,
2025,Economics,Data Science,Beginner - I have little to no experience with coding,April,19,6,1,Faded Denim,
2025,Economics,Data Science,Beginner - I have little to no experience with coding,June,19,5,2,Biscay Green,
2026,Economics,Data Science,Intermediate - I have some experience coding in 1-2 languages,January,20,5,11,Mosaic Blue,
2026,Economics,Data Science,Beginner - I have little to no experience with coding,February,18,5,10,Classic Blue,
2026,Economics,Data Science,Intermediate - I have some experience coding in 1-2 languages,February,18,5,9,Faded Denim,
2025,Economics,Data Science,Intermediate - I have some experience coding in 1-2 languages,February,19,5,10,Classic Blue,
2025,Economics ,,Intermediate - I have some experience coding in 1-2 languages,June,19,5,8,Flame Scarlet,
2025,Economics ,,Beginner - I have little to no experience with coding,October,20,5,8,Biscay Green,
2025,Economics ,,Beginner - I have little to no experience with coding,June,,,,Coral Pink,
2025,Economics,,Beginner - I have little to no experience with coding,July,20,5,10,Classic Blue,
2025,Economics,,Beginner - I have little to no experience with coding,June,19,6,0,Classic Blue,
2025,Economics,,Intermediate - I have some experience coding in 1-2 languages,January,19,,,Mosaic Blue,
2025,Economics,,Advanced - I have extensive experience coding in multiple languages,December,20,5,3,Orange Peel,
2025,Economics,,Beginner - I have little to no experience with coding,May,19,5,3,Mosaic Blue,
2025,Economics,,Beginner - I have little to no experience with coding,September,19,6,0,Faded Denim,
2025,Economics,,Intermediate - I have some experience coding in 1-2 languages,December,20,5,6,Grape Compote,
2025,Economics,,Beginner - I have little to no experience with coding,November,19,6,3,Chive,
2026,Economics,,Intermediate - I have some experience coding in 1-2 languages,June,18,6,0,Classic Blue,
2024,Economics,,Beginner - I have little to no experience with coding,December,20,5,6,Orange Peel,
2025,Economics,,Beginner - I have little to no experience with coding,February,19,5,11,Chive,
2025,Economics,,Beginner - I have little to no experience with coding,October,20,5,10,Classic Blue,
2026,Economics,,Intermediate - I have some experience coding in 1-2 languages,February,18,5,7,Saffron,
2026,Economics,,Intermediate - I have some experience coding in 1-2 languages,September,19,6,1,Mosaic Blue,
2025,Economics,,Beginner - I have little to no experience with coding,February,19,5,10,Classic Blue,
2025,Economics,,Intermediate - I have some experience coding in 1-2 languages,April,21,5,11,Faded Denim,
2026,Data Science,Public Policy,Intermediate - I have some experience coding in 1-2 languages,May,18,6,1,Chive,
2024,Data Science,,Advanced - I have extensive experience coding in multiple languages,February,24,6,2,Faded Denim,
2026,Data Science,,Intermediate - I have some experience coding in 1-2 languages,November,19,5,0,Saffron,
2025,Data Science,,Beginner - I have little to no experience with coding,August,19,5,7,Biscay Green,
2025,Data Science,,Intermediate - I have some experience coding in 1-2 languages,December,20,5,4,Grape Compote,
2026,Creative Writing,,Beginner - I have little to no experience with coding,February,18,6,3,Faded Denim,
2026,Computer Science,Data Science,Advanced - I have extensive experience coding in multiple languages,June,19,6,1,Mosaic Blue,
2025,Computer Science,,Intermediate - I have some experience coding in 1-2 languages,March,19,6,2,Mosaic Blue,
2024,Computer Science,,Advanced - I have extensive experience coding in multiple languages,May,20,5,4,Coral Pink,
2024,Computer Science,,Advanced - I have extensive experience coding in multiple languages,July,19,5,7,Classic Blue,
2025,Data Science,Cognitive Science,Beginner - I have little to no experience with coding,August,19,5,10,Faded Denim,
2023,Biochemistry,,Intermediate - I have some experience coding in 1-2 languages,November,22,5,3,Biscay Green,
2024,Biochemistry,,Beginner - I have little to no experience with coding,April,20,5,7,Classic Blue,
2025,Anthropology,,Beginner - I have little to no experience with coding,April,19,5,4,Coral Pink,
