Player,Team,Position
Al Horford ,Boston Celtics,Center
Andrew Wiggins ,Golden State Warriors,Small Forward
Anthony Davis ,Los Angeles Lakers,Point Guard
Bam Adebayo ,Miami Heat,Center
Ben Simmons ,Brooklyn Nets,Point Guard
Bradley Beal ,Washington Wizards,Shooting Guard
Brandon Ingram ,New Orleans Pelicans,Small Forward
Chris Paul ,Phoenix Suns,Point Guard
CJ McCollum ,New Orleans Pelicans,Shooting Guard
D'Angelo Russell ,Minnesota Timberwolves,Point Guard
Damian Lillard ,Portland Trail Blazers,Point Guard
De'Aaron Fox ,Sacramento Kings,Point Guard
Deandre Ayton ,Phoenix Suns,Center
DeMar DeRozan ,Chicago Bulls,Small Forward
Devin Booker ,Phoenix Suns,Shooting Guard
Donovan Mitchell ,Cleveland Cavaliers,Shooting Guard
Draymond Green ,Golden State Warriors,Power Forward
Giannis Antetokounmpo ,Milwaukee Bucks,Power Forward
Gordon Hayward ,Charlotte Hornets,Small Forward
Jalen Brunson ,New York Knicks,Point Guard
Jamal Murray ,Denver Nuggets,Point Guard
James Harden ,Philadelphia 76ers,Shooting Guard
Jaren Jackson Jr. ,Memphis Grizzlies,Power Forward
Jaylen Brown ,Boston Celtics,Shooting Guard
Jayson Tatum ,Boston Celtics,Small Forward
Jimmy Butler ,Miami Heat,Small Forward
Joel Embiid ,Philadelphia 76ers,Center
Jrue Holiday ,Milwaukee Bucks,Point Guard
Karl-Anthony Towns ,Minnesota Timberwolves,Center
Kawhi Leonard ,LA Clippers,Small Forward
Kevin Durant ,Brooklyn Nets,Power Forward
Kevin Love ,Cleveland Cavaliers,Power Forward
Khris Middleton ,Milwaukee Bucks,Small Forward
Klay Thompson ,Golden State Warriors,Shooting Guard
Kristaps Porzingis ,Washington Wizards,Center
Kyle Lowry ,Miami Heat,Point Guard
Kyrie Irving ,Brooklyn Nets,Point Guard
LeBron James ,Los Angeles Lakers,Small Forward
Luka Doncic ,Dallas Mavericks,Point Guard
Michael Porter Jr. ,Denver Nuggets,Small Forward
Nikola Jokic ,Denver Nuggets,Center
Pascal Siakam ,Toronto Raptors,Power Forward
Paul George ,LA Clippers,Shooting Guard
Rudy Gobert ,Minnesota Timberwolves,Center
Russell Westbrook ,Los Angeles Lakers,Point Guard
Shai Gilgeous-Alexander ,Oklahoma City Thunder,Point Guard
Stephen Curry ,Golden State Warriors,Point Guard
Tobias Harris ,Philadelphia 76ers,Power Forward
Trae Young ,Atlanta Hawks,Point Guard
Zach LaVine ,Chicago Bulls,Small Forward
