Title,Streaming Service,Category
Big Mouth,Netflix,Series
Harry Potter and the Sorcerer's Stone,HBOMax,Movie
The Mandalorian,Disney+,Series
Insecure,HBOMax,Series
Adventure Time,Hulu,Series
Human Resources,Netflix,Series
Abbott Elementary,Hulu,Series
Girlfriends,Netflix,Series
Family Guy,Hulu,Series
Psycho-Pass,Hulu,Series
Disenchantment,Netflix,Series
Orange is the New Black,Netflix,Series
We Bare Bears,HBOMax,Series
Abbott Elementary,Hulu,Series
Moesha,Netflix,Series
Sister Sister,Netflix,Series
Insecure,HBOMax,Series
Ned's Declassified School Survival Guide,Netflix,Series
Big Mouth,Netflix,Series
National Security,Netflix,Movie
Home Alone,Hulu,Movie
The Nutty Professor,Netflix,Movie
Abbott Elementary,Hulu,Series
Atlanta,Hulu,Series
The Immortal Life of Henrietta Lacks,Hulu,Movie
Keenan & Kel,Netflix,Series
Harry Potter and the Chamber of Secrets,HBOMax,Movie
Bob's Burgers,Hulu,Series
Breaking Bad,Netflix,Series
Attack on Titan,Hulu,Series
Black is King,Disney+,Movie
Rick and Morty,Hulu,Series
She's Gotta Have It,Netflix,Series
The Parkers,Netflix,Series
Big Mouth,Netflix,Series
