Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Luka Doncic,Point Guard,42,37.5,33.7,11.3,22.7,49.7,2.9,8,35.5,8.2,11.2,73.1,8.9,8.8,1.5,0.6,3.7,24,10
Joel Embiid,Center,34,34.8,33.6,11.2,20.9,53.7,1.1,3.2,35.2,10,11.7,85.6,9.8,4.2,1,1.7,3.6,20,1
Jayson Tatum,Small Forward,44,37,31.2,10.2,21.7,46.8,3.3,9.5,35.1,7.5,8.6,87.1,8.5,4.3,1.1,0.8,2.7,18,1
Giannis Antetokounmpo,Power Forward,35,33.7,31,10.9,20.8,52.4,0.7,2.9,24.5,8.5,12.9,65.3,11.9,5.3,0.8,0.9,4,25,2
Shai Gilgeous-Alexander,Point Guard,42,35.5,30.6,10.2,20.1,50.7,1,2.8,35.3,9.2,10.2,90.7,4.8,5.5,1.7,1,3,2,0
Kevin Durant,Power Forward,39,36,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,6.7,5.3,0.8,1.5,3.5,5,1
LeBron James,Small Forward,36,36.3,29.6,11.4,22.6,50.6,1.9,6.8,28.8,4.8,6.2,76.7,8.4,7,1,0.6,3.1,13,0
Damian Lillard,Point Guard,33,35.7,29.2,8.9,19.8,44.9,3.9,10.9,36.1,7.5,8.3,90.1,3.9,7.2,0.9,0.4,3.2,8,0
Donovan Mitchell,Shooting Guard,40,36.1,28.4,9.8,20.2,48.4,3.7,9.4,39.5,5.2,5.9,86.9,3.9,4.8,1.4,0.4,3,3,0
Ja Morant,Point Guard,38,32.1,27.2,9.7,21,46.3,1.7,5.2,31.7,6.2,8.2,74.8,5.6,7.9,1,0.3,3.5,13,3
Trae Young,Point Guard,42,35.7,27.1,8.5,20.2,42.4,2.2,6.9,31.9,7.8,8.7,89.4,2.9,9.8,1,0.1,4,21,0
Jaylen Brown,Shooting Guard,42,35.7,26.9,10.1,20.4,49.3,2.5,7.4,33.2,4.3,5.4,78.9,7.1,3.3,1.1,0.5,3.1,8,0
Kyrie Irving,Point Guard,34,36.8,26.4,9.9,20.4,48.3,3.2,8.8,36.2,3.5,3.9,89.6,5.1,4.9,1,0.9,2.2,2,0
DeMar DeRozan,Small Forward,42,36.1,26.1,9.3,18.4,50.6,0.4,1.4,26.7,7.1,8,89,5.1,4.9,1,0.5,2,3,0
Pascal Siakam,Power Forward,37,37.7,25.2,8.8,18.4,47.9,1.3,4,31.5,6.3,8.2,76.9,8.2,6.5,0.8,0.6,2.8,13,2
